old_path,new_path,category,notes
PHASE_1_PROGRESS_REPORT.md,docs/reports/phase/PHASE_1_PROGRESS_REPORT.md,phase,
PHASE_2_COMPLETION_REPORT.md,docs/reports/phase/PHASE_2_COMPLETION_REPORT.md,phase,
PHASE_2_IMPLEMENTATION_PLAN.md,docs/reports/phase/PHASE_2_IMPLEMENTATION_PLAN.md,phase,
PHASE_2_READINESS_EVALUATION.md,docs/reports/phase/PHASE_2_READINESS_EVALUATION.md,phase,
PHASE_2_STEP_A_TECHNICAL_DESIGN.md,docs/reports/phase/PHASE_2_STEP_A_TECHNICAL_DESIGN.md,phase,
PHASE_2_STEP_B_TECHNICAL_DESIGN.md,docs/reports/phase/PHASE_2_STEP_B_TECHNICAL_DESIGN.md,phase,
PHASE_2_STEP_C_FEATURE_FLAG.md,docs/reports/phase/PHASE_2_STEP_C_FEATURE_FLAG.md,phase,
PHASE_4_6_IMPLEMENTATION_SUMMARY.md,docs/reports/phase/PHASE_4_6_IMPLEMENTATION_SUMMARY.md,phase,
PHASE_4_6_INTEGRATED_TEST_REPORT.md,docs/reports/phase/PHASE_4_6_INTEGRATED_TEST_REPORT.md,phase,
PHASE_4_6_MANUAL_VALIDATION.md,docs/reports/phase/PHASE_4_6_MANUAL_VALIDATION.md,phase,
PHASE_4_6_OPTIMIZATION_REPORT.md,docs/reports/phase/PHASE_4_6_OPTIMIZATION_REPORT.md,phase,
PHASE_6_8_COMPREHENSIVE_OPTIMIZATION_REPORT.md,docs/reports/phase/PHASE_6_8_COMPREHENSIVE_OPTIMIZATION_REPORT.md,phase,
PHASE_6_8_OPTIMIZATION_REPORT.md,docs/reports/phase/PHASE_6_8_OPTIMIZATION_REPORT.md,phase,
OWNER_CONSOLE_DEVELOPMENT_PLAN.md,docs/reports/planning/OWNER_CONSOLE_DEVELOPMENT_PLAN.md,planning,
OWNER_CONSOLE_WEEK1_TASKS.md,docs/reports/planning/OWNER_CONSOLE_WEEK1_TASKS.md,planning,
SHARED_COMPONENT_MIGRATION_PLAN.md,docs/reports/planning/SHARED_COMPONENT_MIGRATION_PLAN.md,planning,
TEST_ASSERTION_FIX_PLAN.md,docs/reports/planning/TEST_ASSERTION_FIX_PLAN.md,planning,
TOKEN_MIGRATION_PLAN.md,docs/reports/planning/TOKEN_MIGRATION_PLAN.md,planning,
TOKEN_SCOPING_IMPLEMENTATION_PLAN.md,docs/reports/planning/TOKEN_SCOPING_IMPLEMENTATION_PLAN.md,planning,
WEEK_1_6_IMPLEMENTATION_PLAN.md,docs/reports/planning/WEEK_1_6_IMPLEMENTATION_PLAN.md,planning,
FRONTEND_PR555_FINAL_VALIDATION_REPORT.md,docs/reports/pr-reviews/FRONTEND_PR555_FINAL_VALIDATION_REPORT.md,pr-reviews,
PR387_CRITICAL_REVIEW_AND_TEST_RESULTS.md,docs/reports/pr-reviews/PR387_CRITICAL_REVIEW_AND_TEST_RESULTS.md,pr-reviews,
PR394_REVIEW_REPORT.md,docs/reports/pr-reviews/PR394_REVIEW_REPORT.md,pr-reviews,
PR455_OPTIMIZATION_REPORT.md,docs/reports/pr-reviews/PR455_OPTIMIZATION_REPORT.md,pr-reviews,
PR562_CRITICAL_FIXES_GUIDE.md,docs/reports/pr-reviews/PR562_CRITICAL_FIXES_GUIDE.md,pr-reviews,
PR_843_CTO_ACCEPTANCE_REPORT.md,docs/reports/pr-reviews/PR_843_CTO_ACCEPTANCE_REPORT.md,pr-reviews,
PR_843_FINAL_CTO_APPROVAL.md,docs/reports/pr-reviews/PR_843_FINAL_CTO_APPROVAL.md,pr-reviews,
PR_844_CTO_ACCEPTANCE_REPORT.md,docs/reports/pr-reviews/PR_844_CTO_ACCEPTANCE_REPORT.md,pr-reviews,
PR_844_FINAL_CTO_APPROVAL.md,docs/reports/pr-reviews/PR_844_FINAL_CTO_APPROVAL.md,pr-reviews,
PR_845_CTO_ACCEPTANCE_REPORT.md,docs/reports/pr-reviews/PR_845_CTO_ACCEPTANCE_REPORT.md,pr-reviews,
PR_845_CTO_VERIFICATION_REPORT_AFTER_FIXES.md,docs/reports/pr-reviews/PR_845_CTO_VERIFICATION_REPORT_AFTER_FIXES.md,pr-reviews,
PR_845_FINAL_CTO_APPROVAL.md,docs/reports/pr-reviews/PR_845_FINAL_CTO_APPROVAL.md,pr-reviews,
PR_846_FINAL_CTO_APPROVAL.md,docs/reports/pr-reviews/PR_846_FINAL_CTO_APPROVAL.md,pr-reviews,
FINAL_SECURITY_DEPLOYMENT_REPORT.md,docs/reports/security/FINAL_SECURITY_DEPLOYMENT_REPORT.md,security,
REDIS_TLS_AUDIT_REPORT.md,docs/reports/security/REDIS_TLS_AUDIT_REPORT.md,security,
RLS_SECURITY_ASSESSMENT.md,docs/reports/security/RLS_SECURITY_ASSESSMENT.md,security,
RLS_TEST_FINDINGS.md,docs/reports/security/RLS_TEST_FINDINGS.md,security,
SECURITY_ADVISOR_FIXES.md,docs/reports/security/SECURITY_ADVISOR_FIXES.md,security,
SECURITY_FIXES_VALIDATION_REPORT_PR554.md,docs/reports/security/SECURITY_FIXES_VALIDATION_REPORT_PR554.md,security,
SUPABASE_RLS_SECURITY_AUDIT_REPORT.md,docs/reports/security/SUPABASE_RLS_SECURITY_AUDIT_REPORT.md,security,
SUPABASE_SECURITY_ADVISOR_COMPLETE_FIX_REPORT.md,docs/reports/security/SUPABASE_SECURITY_ADVISOR_COMPLETE_FIX_REPORT.md,security,
SUPABASE_SECURITY_FIXES_REPORT.md,docs/reports/security/SUPABASE_SECURITY_FIXES_REPORT.md,security,
SPRING_ANIMATION_AUDIT_REPORT.md,docs/reports/uiux/SPRING_ANIMATION_AUDIT_REPORT.md,uiux,
UIUX_IMPROVEMENT_PRIORITIES.md,docs/reports/uiux/UIUX_IMPROVEMENT_PRIORITIES.md,uiux,
UIUX_STRATEGIC_AUDIT_REPORT.md,docs/reports/uiux/UIUX_STRATEGIC_AUDIT_REPORT.md,uiux,
UIUX_VALIDATION_REPORT_PR554_PR555.md,docs/reports/uiux/UIUX_VALIDATION_REPORT_PR554_PR555.md,uiux,
UI_UX_PROGRESS_ASSESSMENT_REPORT.md,docs/reports/uiux/UI_UX_PROGRESS_ASSESSMENT_REPORT.md,uiux,
USABILITY_TESTING_RECRUITMENT_PLAN.md,docs/reports/uiux/USABILITY_TESTING_RECRUITMENT_PLAN.md,uiux,
VRT_BASELINE_VERIFICATION_REPORT.md,docs/reports/uiux/VRT_BASELINE_VERIFICATION_REPORT.md,uiux,
WCAG_2.1_AA_COMPLETION_REPORT.md,docs/reports/uiux/WCAG_2.1_AA_COMPLETION_REPORT.md,uiux,
AGENT_GOVERNANCE_VALIDATION_REPORT.md,docs/reports/validation/AGENT_GOVERNANCE_VALIDATION_REPORT.md,validation,
API_ENDPOINT_VERIFICATION_REPORT.md,docs/reports/validation/API_ENDPOINT_VERIFICATION_REPORT.md,validation,
FINAL_VERIFICATION_STEPS.md,docs/reports/validation/FINAL_VERIFICATION_STEPS.md,validation,
OPTIMIZATION_COMPLETION_REPORT.md,docs/reports/validation/OPTIMIZATION_COMPLETION_REPORT.md,validation,
OPTION_A_VERIFICATION_REPORT.md,docs/reports/validation/OPTION_A_VERIFICATION_REPORT.md,validation,
P0_P1_COMPLETION_REPORT.md,docs/reports/validation/P0_P1_COMPLETION_REPORT.md,validation,
STAGING_E2E_TEST_RESULTS.md,docs/reports/validation/STAGING_E2E_TEST_RESULTS.md,validation,
STAGING_TEST_REPORT_SECURITY_FIXES.md,docs/reports/validation/STAGING_TEST_REPORT_SECURITY_FIXES.md,validation,
VERIFICATION_CHECKLIST.md,docs/reports/validation/VERIFICATION_CHECKLIST.md,validation,
CLOUD_AUTH_REPAIR_GUIDE.md,docs/runbooks/CLOUD_AUTH_REPAIR_GUIDE.md,runbooks,
OPS_AGENT_QUICK_REFERENCE.md,docs/runbooks/OPS_AGENT_QUICK_REFERENCE.md,runbooks,
